hgnc	status	subcellular_location
TMEM230	Validated	Endoplasmic reticulum
GCN1	Validated	Cytosol
PXN	Validated	Cytosol
PXN	Validated	Focal adhesion sites
FUS	Validated	Nucleoplasm
GMIP	Validated	Cytosol
GMIP	Validated	Nucleoplasm
BIRC5	Validated	Cytokinetic bridge
ZBTB25	Validated	Nucleoplasm
RCOR1	Validated	Nucleoplasm
PAPOLA	Validated	Nucleoplasm
NUDC	Validated	Cytosol
MAEA	Validated	Nucleoplasm
GOLGA3	Validated	Golgi apparatus
PABPC4	Validated	Cytosol
AARS	Validated	Cytosol
KIF4A	Validated	Cytokinetic bridge
KIF4A	Validated	Nucleoplasm
TXNL1	Validated	Cytosol
FH	Validated	Mitochondria
SEL1L3	Validated	Nucleus
CDV3	Validated	Cytosol
CDV3	Validated	Nucleoli
CDV3	Validated	Plasma membrane
CEBPE	Validated	Nucleoplasm
HNRNPC	Validated	Nucleoplasm
PHGDH	Validated	Cytosol
PHGDH	Validated	Nucleoplasm
PHGDH	Validated	Plasma membrane
EZR	Validated	Plasma membrane
CLSPN	Validated	Nucleoplasm
NUP50	Validated	Nuclear membrane
NUP50	Validated	Nucleoplasm
CBX5	Validated	Nucleus
ARCN1	Validated	Golgi apparatus
ARCN1	Validated	Vesicles
FKBP5	Validated	Nucleoplasm
HSP90AB1	Validated	Cytosol
DSP	Validated	Cell Junctions
SIRT1	Validated	Cytosol
SIRT1	Validated	Mitochondria
SIRT1	Validated	Nucleus
ABL1	Validated	Nucleoplasm
SCD	Validated	Endoplasmic reticulum
H2AFY2	Validated	Nucleoplasm
HNRNPM	Validated	Nucleoplasm
MISP	Validated	Focal adhesion sites
MISP	Validated	Plasma membrane
PALM	Validated	Plasma membrane
CRKL	Validated	Nucleoplasm
SF3A1	Validated	Nuclear speckles
PPIL2	Validated	Nucleoplasm
PES1	Validated	Nucleoli
PES1	Validated	Nucleus
HIRA	Validated	Nucleoplasm
POLR2F	Validated	Nucleoli fibrillar center
POLR2F	Validated	Nucleus
CENPM	Validated	Cytosol
KDELR3	Validated	Endoplasmic reticulum
DDX17	Validated	Nuclear speckles
TOMM22	Validated	Mitochondria
POLDIP3	Validated	Nuclear speckles
CYB5R3	Validated	Endoplasmic reticulum
MCM5	Validated	Nucleoplasm
TAB1	Validated	Cytosol
TAB1	Validated	Nuclear speckles
SAMM50	Validated	Mitochondria
TXN2	Validated	Mitochondria
ST13	Validated	Cytosol
EP300	Validated	Nucleoplasm
RANGAP1	Validated	Cytosol
RANGAP1	Validated	Nuclear membrane
RANGAP1	Validated	Vesicles
PHF5A	Validated	Nucleoplasm
CDKL1	Validated	Nucleoplasm
CDKL1	Validated	Vesicles
NIN	Validated	Centrosome
CDKN3	Validated	Cytosol
VTI1B	Validated	Vesicles
TIMM9	Validated	Mitochondria
SNW1	Validated	Nucleoplasm
SRSF5	Validated	Nucleoli
SRSF5	Validated	Nucleus
MTHFD1	Validated	Cytosol
ZC3H14	Validated	Nuclear speckles
PSMC1	Validated	Cytosol
PSMC1	Validated	Nucleoplasm
RPS6KA5	Validated	Nucleoplasm
TRIP11	Validated	Golgi apparatus
APEX1	Validated	Nucleus
DHRS2	Validated	Mitochondria
DHRS2	Validated	Nucleus
PCK2	Validated	Mitochondria
DCAF11	Validated	Nucleoplasm
NFKBIA	Validated	Cytosol
PNN	Validated	Nuclear speckles
RABGGTA	Validated	Nucleoplasm
MYBL2	Validated	Cytosol
MYBL2	Validated	Nucleoplasm
STK4	Validated	Cytosol
STK4	Validated	Nucleoplasm
SALL4	Validated	Nucleoplasm
CSTF1	Validated	Nucleoplasm
PRPF6	Validated	Nuclear speckles
EEF1A2	Validated	Cytosol
EEF1A2	Validated	Nucleoli
GMEB2	Validated	Nucleoplasm
NOP56	Validated	Nucleoli fibrillar center
IDH3B	Validated	Mitochondria
MAPRE1	Validated	Cytosol
MAPRE1	Validated	Microtubule organizing center
E2F1	Validated	Nucleoplasm
DNTTIP1	Validated	Nucleus
VAPA	Validated	Endoplasmic reticulum
RNMT	Validated	Nucleoli fibrillar center
RNMT	Validated	Nucleoplasm
CSTF2	Validated	Nuclear bodies
CSTF2	Validated	Nucleoplasm
NAA10	Validated	Cytosol
NAA10	Validated	Nucleoli
FMR1	Validated	Cytosol
PQBP1	Validated	Nuclear speckles
EMD	Validated	Nuclear membrane
HTATSF1	Validated	Nucleoplasm
MAGED2	Validated	Cytosol
MAGED2	Validated	Nucleoli
MAGED2	Validated	Nucleus
NDFIP2	Validated	Vesicles
CENPT	Validated	Nuclear bodies
ZNF423	Validated	Nucleus
DHODH	Validated	Mitochondria
ACD	Validated	Nuclear bodies
PSMD7	Validated	Nucleoplasm
ESRP2	Validated	Nucleoplasm
USP10	Validated	Cytosol
USP10	Validated	Nucleoplasm
TSC2	Validated	Cytosol
ZNF500	Validated	Cytosol
ZNF500	Validated	Nucleoplasm
UBE2I	Validated	Cytosol
GGA2	Validated	Golgi apparatus
STX4	Validated	Plasma membrane
RNF40	Validated	Nucleoplasm
TJP1	Validated	Cell Junctions
SCG3	Validated	Vesicles
EIF3J	Validated	Cytosol
INTS9	Validated	Nucleoplasm
RIPK2	Validated	Cytosol
EIF3E	Validated	Cytosol
EIF3E	Validated	Nuclear bodies
ESRP1	Validated	Nuclear bodies
ESRP1	Validated	Nucleoplasm
WISP1	Validated	Cytosol
SH2D4A	Validated	Cytosol
MCM4	Validated	Nucleoplasm
TUBB4A	Validated	Microtubules
SNRNP70	Validated	Nucleoplasm
CLASRP	Validated	Nucleus
ARHGEF18	Validated	Cytosol
PPP1R13L	Validated	Cytosol
DOT1L	Validated	Nucleoplasm
RNASEH2A	Validated	Cytosol
RNASEH2A	Validated	Nucleus
TIMM44	Validated	Mitochondria
PPP6R1	Validated	Cytosol
CCNE1	Validated	Nucleoplasm
ANKRD27	Validated	Cytosol
RPS16	Validated	Cytosol
RPS16	Validated	Endoplasmic reticulum
FBL	Validated	Nucleoli fibrillar center
POLR2I	Validated	Nucleoplasm
SLC1A5	Validated	Plasma membrane
TJP3	Validated	Cell Junctions
HNRNPUL1	Validated	Nucleoplasm
PLIN3	Validated	Lipid droplets
GLTSCR2	Validated	Nucleoli
ETFB	Validated	Mitochondria
CDC37	Validated	Cytosol
CARD8	Validated	Cytosol
CARD8	Validated	Nucleoplasm
COPE	Validated	Golgi apparatus
ARMC6	Validated	Cytosol
USF2	Validated	Nucleoplasm
SUGP1	Validated	Nucleoplasm
ERF	Validated	Nucleoplasm
ETHE1	Validated	Mitochondria
HBP1	Validated	Nuclear speckles
SP4	Validated	Nucleoplasm
DFNA5	Validated	Cytosol
ZC3HAV1	Validated	Cytosol
OGDH	Validated	Mitochondria
CHCHD2	Validated	Mitochondria
HSPB1	Validated	Cytosol
PDAP1	Validated	Cytosol
PDAP1	Validated	Plasma membrane
RBM28	Validated	Nucleoli
AHR	Validated	Cytosol
AHR	Validated	Nucleoplasm
POLD2	Validated	Nucleoplasm
SEC61B	Validated	Endoplasmic reticulum
NCS1	Validated	Plasma membrane
CA9	Validated	Plasma membrane
RGP1	Validated	Cytosol
SHB	Validated	Cytosol
SHB	Validated	Nucleoplasm
DDX50	Validated	Nucleoli
SEC23IP	Validated	Vesicles
NSMCE4A	Validated	Nucleoplasm
PLEKHA1	Validated	Nucleus
SFXN3	Validated	Mitochondria
CUEDC2	Validated	Cytosol
CUEDC2	Validated	Nucleoplasm
ACBD5	Validated	Peroxisomes
LARP4B	Validated	Cytosol
GTPBP4	Validated	Nucleoli
XPNPEP1	Validated	Cytosol
TFAM	Validated	Mitochondria
CUL2	Validated	Nucleoplasm
GIT1	Validated	Cytosol
GIT1	Validated	Focal adhesion sites
UBTF	Validated	Nucleoli fibrillar center
TUBD1	Validated	Cytosol
TUBD1	Validated	Nucleoplasm
ENO3	Validated	Cytosol
ENO3	Validated	Plasma membrane
